category,pair_id,layer,cosine_sim
safe-safe,21,24,0.90234375
safe-safe,21,25,0.91015625
safe-safe,21,26,0.92578125
safe-safe,21,27,0.93359375
safe-safe,21,28,0.93359375
safe-safe,21,29,0.921875
safe-safe,21,30,0.91015625
safe-safe,21,31,0.83984375
safe-safe,21,32,0.609375
safe-safe,22,1,1.0
safe-safe,22,2,0.9921875
safe-safe,22,3,0.98828125
safe-safe,22,4,0.98828125
safe-safe,22,5,0.984375
safe-safe,22,6,0.98828125
safe-safe,22,7,0.98828125
safe-safe,22,8,0.98046875
safe-safe,22,9,0.9765625
safe-safe,22,10,0.97265625
safe-safe,22,11,0.97265625
safe-safe,22,12,0.9765625
safe-safe,22,13,0.97265625
safe-safe,22,14,0.9375
safe-safe,22,15,0.90234375
safe-safe,22,16,0.90234375
safe-safe,22,17,0.90234375
safe-safe,22,18,0.93359375
safe-safe,22,19,0.92578125
safe-safe,22,20,0.9375
safe-safe,22,21,0.91796875
safe-safe,22,22,0.92578125
safe-safe,22,23,0.93359375
safe-safe,22,24,0.94921875
safe-safe,22,25,0.9609375
safe-safe,22,26,0.96484375
safe-safe,22,27,0.96875
safe-safe,22,28,0.96875
safe-safe,22,29,0.9609375
safe-safe,22,30,0.95703125
safe-safe,22,31,0.921875
safe-safe,22,32,0.76953125
safe-safe,23,1,0.99609375
safe-safe,23,2,0.98828125
safe-safe,23,3,0.9921875
safe-safe,23,4,0.98046875
safe-safe,23,5,0.984375
safe-safe,23,6,0.98828125
safe-safe,23,7,0.984375
safe-safe,23,8,0.9765625
safe-safe,23,9,0.96484375
safe-safe,23,10,0.9609375
safe-safe,23,11,0.93359375
safe-safe,23,12,0.9375
safe-safe,23,13,0.90234375
safe-safe,23,14,0.8359375
safe-safe,23,15,0.76953125
safe-safe,23,16,0.73046875
safe-safe,23,17,0.703125
safe-safe,23,18,0.73046875
safe-safe,23,19,0.75
safe-safe,23,20,0.734375
safe-safe,23,21,0.71484375
safe-safe,23,22,0.80859375
safe-safe,23,23,0.6875
safe-safe,23,24,0.76171875
safe-safe,23,25,0.78515625
safe-safe,23,26,0.84765625
safe-safe,23,27,0.87890625
safe-safe,23,28,0.875
safe-safe,23,29,0.9140625
safe-safe,23,30,0.9296875
safe-safe,23,31,0.890625
safe-safe,23,32,0.734375
safe-safe,24,1,0.99609375
safe-safe,24,2,0.9921875
safe-safe,24,3,0.984375
safe-safe,24,4,0.984375
safe-safe,24,5,0.9765625
safe-safe,24,6,0.98828125
safe-safe,24,7,0.97265625
safe-safe,24,8,0.95703125
safe-safe,24,9,0.953125
safe-safe,24,10,0.9453125
safe-safe,24,11,0.9375
safe-safe,24,12,0.94140625
safe-safe,24,13,0.9296875
safe-safe,24,14,0.88671875
safe-safe,24,15,0.84375
safe-safe,24,16,0.7734375
safe-safe,24,17,0.81640625
safe-safe,24,18,0.83203125
safe-safe,24,19,0.8046875
safe-safe,24,20,0.8046875
safe-safe,24,21,0.86328125
safe-safe,24,22,0.90625
safe-safe,24,23,0.89453125
safe-safe,24,24,0.87109375
safe-safe,24,25,0.90625
safe-safe,24,26,0.92578125
safe-safe,24,27,0.9453125
safe-safe,24,28,0.9453125
safe-safe,24,29,0.9375
safe-safe,24,30,0.93359375
safe-safe,24,31,0.875
safe-safe,24,32,0.69921875
safe-safe,25,1,0.99609375
safe-safe,25,2,0.984375
safe-safe,25,3,0.9765625
safe-safe,25,4,0.9765625
safe-safe,25,5,0.95703125
safe-safe,25,6,0.97265625
safe-safe,25,7,0.95703125
safe-safe,25,8,0.93359375
safe-safe,25,9,0.921875
safe-safe,25,10,0.890625
safe-safe,25,11,0.8828125
safe-safe,25,12,0.8984375
safe-safe,25,13,0.875
safe-safe,25,14,0.7890625
safe-safe,25,15,0.71875
safe-safe,25,16,0.66796875
safe-safe,25,17,0.6484375
safe-safe,25,18,0.70703125
safe-safe,25,19,0.72265625
safe-safe,25,20,0.78125
safe-safe,25,21,0.78515625
safe-safe,25,22,0.8828125
safe-safe,25,23,0.85546875
safe-safe,25,24,0.9140625
safe-safe,25,25,0.92578125
safe-safe,25,26,0.9375
safe-safe,25,27,0.953125
safe-safe,25,28,0.94921875
safe-safe,25,29,0.953125
safe-safe,25,30,0.95703125
safe-safe,25,31,0.9140625
