category,pair_id,layer,cosine_sim
unsafe-unsafe,11,15,0.796875
unsafe-unsafe,11,16,0.73828125
unsafe-unsafe,11,17,0.75390625
unsafe-unsafe,11,18,0.78125
unsafe-unsafe,11,19,0.8359375
unsafe-unsafe,11,20,0.80078125
unsafe-unsafe,11,21,0.76171875
unsafe-unsafe,11,22,0.84375
unsafe-unsafe,11,23,0.80078125
unsafe-unsafe,11,24,0.85546875
unsafe-unsafe,11,25,0.890625
unsafe-unsafe,11,26,0.90625
unsafe-unsafe,11,27,0.8984375
unsafe-unsafe,11,28,0.90234375
unsafe-unsafe,11,29,0.90234375
unsafe-unsafe,11,30,0.92578125
unsafe-unsafe,11,31,0.8984375
unsafe-unsafe,11,32,0.78515625
unsafe-unsafe,12,1,0.98828125
unsafe-unsafe,12,2,0.98828125
unsafe-unsafe,12,3,0.984375
unsafe-unsafe,12,4,0.9765625
unsafe-unsafe,12,5,0.96875
unsafe-unsafe,12,6,0.97265625
unsafe-unsafe,12,7,0.9609375
unsafe-unsafe,12,8,0.9453125
unsafe-unsafe,12,9,0.9140625
unsafe-unsafe,12,10,0.90234375
unsafe-unsafe,12,11,0.89453125
unsafe-unsafe,12,12,0.84375
unsafe-unsafe,12,13,0.87109375
unsafe-unsafe,12,14,0.70703125
unsafe-unsafe,12,15,0.65625
unsafe-unsafe,12,16,0.58984375
unsafe-unsafe,12,17,0.53125
unsafe-unsafe,12,18,0.48046875
unsafe-unsafe,12,19,0.6796875
unsafe-unsafe,12,20,0.5859375
unsafe-unsafe,12,21,0.625
unsafe-unsafe,12,22,0.7734375
unsafe-unsafe,12,23,0.73828125
unsafe-unsafe,12,24,0.8515625
unsafe-unsafe,12,25,0.89453125
unsafe-unsafe,12,26,0.93359375
unsafe-unsafe,12,27,0.93359375
unsafe-unsafe,12,28,0.94140625
unsafe-unsafe,12,29,0.9453125
unsafe-unsafe,12,30,0.9453125
unsafe-unsafe,12,31,0.8984375
unsafe-unsafe,12,32,0.5859375
unsafe-unsafe,13,1,0.99609375
unsafe-unsafe,13,2,0.98828125
unsafe-unsafe,13,3,0.9921875
unsafe-unsafe,13,4,0.9765625
unsafe-unsafe,13,5,0.97265625
unsafe-unsafe,13,6,0.9765625
unsafe-unsafe,13,7,0.96484375
unsafe-unsafe,13,8,0.953125
unsafe-unsafe,13,9,0.9453125
unsafe-unsafe,13,10,0.94921875
unsafe-unsafe,13,11,0.94140625
unsafe-unsafe,13,12,0.94921875
unsafe-unsafe,13,13,0.953125
unsafe-unsafe,13,14,0.9296875
unsafe-unsafe,13,15,0.91796875
unsafe-unsafe,13,16,0.91796875
unsafe-unsafe,13,17,0.921875
unsafe-unsafe,13,18,0.890625
unsafe-unsafe,13,19,0.8984375
unsafe-unsafe,13,20,0.81640625
unsafe-unsafe,13,21,0.828125
unsafe-unsafe,13,22,0.84765625
unsafe-unsafe,13,23,0.81640625
unsafe-unsafe,13,24,0.82421875
unsafe-unsafe,13,25,0.796875
unsafe-unsafe,13,26,0.86328125
unsafe-unsafe,13,27,0.87109375
unsafe-unsafe,13,28,0.91796875
unsafe-unsafe,13,29,0.9296875
unsafe-unsafe,13,30,0.94140625
unsafe-unsafe,13,31,0.90234375
unsafe-unsafe,13,32,0.796875
unsafe-unsafe,14,1,0.99609375
unsafe-unsafe,14,2,0.98828125
unsafe-unsafe,14,3,0.984375
unsafe-unsafe,14,4,0.98046875
unsafe-unsafe,14,5,0.9609375
unsafe-unsafe,14,6,0.9765625
unsafe-unsafe,14,7,0.96484375
unsafe-unsafe,14,8,0.953125
unsafe-unsafe,14,9,0.94140625
unsafe-unsafe,14,10,0.93359375
unsafe-unsafe,14,11,0.9140625
unsafe-unsafe,14,12,0.9140625
unsafe-unsafe,14,13,0.91015625
unsafe-unsafe,14,14,0.859375
unsafe-unsafe,14,15,0.8203125
unsafe-unsafe,14,16,0.7578125
unsafe-unsafe,14,17,0.7578125
unsafe-unsafe,14,18,0.71875
unsafe-unsafe,14,19,0.765625
unsafe-unsafe,14,20,0.73046875
unsafe-unsafe,14,21,0.65625
unsafe-unsafe,14,22,0.7421875
unsafe-unsafe,14,23,0.640625
unsafe-unsafe,14,24,0.63671875
unsafe-unsafe,14,25,0.6875
unsafe-unsafe,14,26,0.73828125
unsafe-unsafe,14,27,0.73828125
unsafe-unsafe,14,28,0.80859375
unsafe-unsafe,14,29,0.8515625
unsafe-unsafe,14,30,0.87890625
unsafe-unsafe,14,31,0.83203125
unsafe-unsafe,14,32,0.65234375
unsafe-unsafe,15,1,0.9921875
unsafe-unsafe,15,2,0.9765625
unsafe-unsafe,15,3,0.984375
unsafe-unsafe,15,4,0.96875
unsafe-unsafe,15,5,0.9609375
unsafe-unsafe,15,6,0.96484375
unsafe-unsafe,15,7,0.95703125
unsafe-unsafe,15,8,0.921875
unsafe-unsafe,15,9,0.90625
unsafe-unsafe,15,10,0.89453125
unsafe-unsafe,15,11,0.88671875
unsafe-unsafe,15,12,0.875
unsafe-unsafe,15,13,0.8984375
unsafe-unsafe,15,14,0.80859375
unsafe-unsafe,15,15,0.75390625
unsafe-unsafe,15,16,0.70703125
unsafe-unsafe,15,17,0.734375
unsafe-unsafe,15,18,0.62890625
unsafe-unsafe,15,19,0.7734375
unsafe-unsafe,15,20,0.75
unsafe-unsafe,15,21,0.75390625
unsafe-unsafe,15,22,0.82421875
unsafe-unsafe,15,23,0.78515625
unsafe-unsafe,15,24,0.84375
unsafe-unsafe,15,25,0.8671875
unsafe-unsafe,15,26,0.89453125
unsafe-unsafe,15,27,0.90625
unsafe-unsafe,15,28,0.90234375
unsafe-unsafe,15,29,0.921875
unsafe-unsafe,15,30,0.91796875
unsafe-unsafe,15,31,0.87109375
unsafe-unsafe,15,32,0.64453125
unsafe-unsafe,16,1,1.0
unsafe-unsafe,16,2,0.99609375
unsafe-unsafe,16,3,1.0
unsafe-unsafe,16,4,0.99609375
unsafe-unsafe,16,5,0.99609375
unsafe-unsafe,16,6,1.0
unsafe-unsafe,16,7,0.99609375
unsafe-unsafe,16,8,0.98828125
unsafe-unsafe,16,9,0.984375
unsafe-unsafe,16,10,0.98828125
unsafe-unsafe,16,11,0.9765625
unsafe-unsafe,16,12,0.96875
unsafe-unsafe,16,13,0.96484375
unsafe-unsafe,16,14,0.9453125
unsafe-unsafe,16,15,0.93359375
unsafe-unsafe,16,16,0.91796875
unsafe-unsafe,16,17,0.88671875
unsafe-unsafe,16,18,0.8203125
unsafe-unsafe,16,19,0.8359375
unsafe-unsafe,16,20,0.76953125
unsafe-unsafe,16,21,0.71484375
unsafe-unsafe,16,22,0.72265625
unsafe-unsafe,16,23,0.6796875
unsafe-unsafe,16,24,0.6484375
unsafe-unsafe,16,25,0.625
unsafe-unsafe,16,26,0.53125
unsafe-unsafe,16,27,0.5390625
unsafe-unsafe,16,28,0.58203125
unsafe-unsafe,16,29,0.330078125
unsafe-unsafe,16,30,0.734375
unsafe-unsafe,16,31,0.625
unsafe-unsafe,16,32,0.76953125
unsafe-unsafe,17,1,0.99609375
unsafe-unsafe,17,2,0.99609375
unsafe-unsafe,17,3,0.9921875
unsafe-unsafe,17,4,0.9921875
unsafe-unsafe,17,5,0.99609375
unsafe-unsafe,17,6,0.99609375
unsafe-unsafe,17,7,0.9921875
unsafe-unsafe,17,8,0.98828125
unsafe-unsafe,17,9,0.9921875
unsafe-unsafe,17,10,0.98828125
unsafe-unsafe,17,11,0.984375
unsafe-unsafe,17,12,0.984375
unsafe-unsafe,17,13,0.984375
unsafe-unsafe,17,14,0.97265625
unsafe-unsafe,17,15,0.96484375
unsafe-unsafe,17,16,0.94140625
unsafe-unsafe,17,17,0.9453125
unsafe-unsafe,17,18,0.9140625
unsafe-unsafe,17,19,0.93359375
unsafe-unsafe,17,20,0.88671875
